tpid,tp_name,genename1,genename2,fd_name,md_name,specific_cancer
TP00226,BRAF;MAPK3,BRAF,MAPK3,Lung Cancer,Lung Cancer,Lung Cancer
TP00226,BRAF;MAPK3,BRAF,MAPK3,Melanoma,Melanoma,Melanoma
TP00227,BRAF;MTOR,BRAF,MTOR,Lung Cancer,Lung Cancer,Lung Cancer
TP00228,BRAF;PDCD1,BRAF,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00228,BRAF;PDCD1,BRAF,PDCD1,Melanoma,Melanoma,Melanoma
TP00229,BRAF;PIK3CA,BRAF,PIK3CA,Melanoma,Melanoma,Melanoma
TP00230,BRAF;PIK3CB,BRAF,PIK3CB,Melanoma,Melanoma,Melanoma
TP00231,BRAF;PIK3CD,BRAF,PIK3CD,Melanoma,Melanoma,Melanoma
TP00232,BRAF;PIK3CG,BRAF,PIK3CG,Melanoma,Melanoma,Melanoma
TP00233,BRAF;PTK2,BRAF,PTK2,Lung Cancer,Lung Cancer,Lung Cancer
TP00233,BRAF;PTK2,BRAF,PTK2,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00233,BRAF;PTK2,BRAF,PTK2,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00234,BRAF;RXRA,BRAF,RXRA,Melanoma,Melanoma,Melanoma
TP00235,BRAF;RXRB,BRAF,RXRB,Melanoma,Melanoma,Melanoma
TP00236,BRAF;RXRG,BRAF,RXRG,Melanoma,Melanoma,Melanoma
TP00237,BRAF;TP53,BRAF,TP53,Melanoma,Melanoma,Melanoma
TP00238,BRAF;VEGFA,BRAF,VEGFA,Melanoma,Melanoma,Melanoma
TP00239,BRD2;CD274,BRD2,CD274,Breast Cancer,Breast Cancer,Breast Cancer
TP00239,BRD2;CD274,BRD2,CD274,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00240,BRD2;CYP19A1,BRD2,CYP19A1,Breast Cancer,Breast Cancer,Breast Cancer
TP00241,BRD2;ESR1,BRD2,ESR1,Breast Cancer,Breast Cancer,Breast Cancer
TP00242,BRD2;ESR2,BRD2,ESR2,Breast Cancer,Breast Cancer,Breast Cancer
TP00243,BRD2;PARP1,BRD2,PARP1,Breast Cancer,Breast Cancer,Breast Cancer
TP00243,BRD2;PARP1,BRD2,PARP1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00244,BRD2;PARP2,BRD2,PARP2,Breast Cancer,Breast Cancer,Breast Cancer
TP00244,BRD2;PARP2,BRD2,PARP2,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00246,BRD3;CD274,BRD3,CD274,Breast Cancer,Breast Cancer,Breast Cancer
TP00246,BRD3;CD274,BRD3,CD274,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00247,BRD3;CYP19A1,BRD3,CYP19A1,Breast Cancer,Breast Cancer,Breast Cancer
TP00248,BRD3;ESR1,BRD3,ESR1,Breast Cancer,Breast Cancer,Breast Cancer
TP00249,BRD3;ESR2,BRD3,ESR2,Breast Cancer,Breast Cancer,Breast Cancer
TP00250,BRD3;PARP1,BRD3,PARP1,Breast Cancer,Breast Cancer,Breast Cancer
TP00250,BRD3;PARP1,BRD3,PARP1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00251,BRD3;PARP2,BRD3,PARP2,Breast Cancer,Breast Cancer,Breast Cancer
TP00251,BRD3;PARP2,BRD3,PARP2,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00253,BRD4;CD274,BRD4,CD274,Breast Cancer,Breast Cancer,Breast Cancer
TP00253,BRD4;CD274,BRD4,CD274,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00254,BRD4;CYP19A1,BRD4,CYP19A1,Breast Cancer,Breast Cancer,Breast Cancer
TP00255,BRD4;ESR1,BRD4,ESR1,Breast Cancer,Breast Cancer,Breast Cancer
TP00256,BRD4;ESR2,BRD4,ESR2,Breast Cancer,Breast Cancer,Breast Cancer
TP00257,BRD4;PARP1,BRD4,PARP1,Breast Cancer,Breast Cancer,Breast Cancer
TP00257,BRD4;PARP1,BRD4,PARP1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00258,BRD4;PARP2,BRD4,PARP2,Breast Cancer,Breast Cancer,Breast Cancer
TP00258,BRD4;PARP2,BRD4,PARP2,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00260,BRDT;CD274,BRDT,CD274,Breast Cancer,Breast Cancer,Breast Cancer
TP00260,BRDT;CD274,BRDT,CD274,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00261,BRDT;CYP19A1,BRDT,CYP19A1,Breast Cancer,Breast Cancer,Breast Cancer
TP00262,BRDT;ESR1,BRDT,ESR1,Breast Cancer,Breast Cancer,Breast Cancer
TP00263,BRDT;ESR2,BRDT,ESR2,Breast Cancer,Breast Cancer,Breast Cancer
TP00264,BRDT;PARP1,BRDT,PARP1,Breast Cancer,Breast Cancer,Breast Cancer
TP00264,BRDT;PARP1,BRDT,PARP1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00265,BRDT;PARP2,BRDT,PARP2,Breast Cancer,Breast Cancer,Breast Cancer
TP00265,BRDT;PARP2,BRDT,PARP2,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00268,BTK;CD274,BTK,CD274,Lung Cancer,Lung Cancer,Lung Cancer
TP00287,BTK;PDCD1,BTK,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00291,BTLA;PDCD1,BTLA,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00292,CAPRIN1;PDCD1,CAPRIN1,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00293,CAPRIN1;VEGFA,CAPRIN1,VEGFA,Lung Cancer,Lung Cancer,Lung Cancer
TP00295,CCR2;PDCD1,CCR2,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00295,CCR2;PDCD1,CCR2,PDCD1,Melanoma,Melanoma,Melanoma
TP00296,CCR2;STING1,CCR2,STING1,Lung Cancer,Lung Cancer,Lung Cancer
TP00297,CCR4;CTLA4,CCR4,CTLA4,Melanoma,Melanoma,Melanoma
TP00299,CCR4;PDCD1,CCR4,PDCD1,Esophageal Cancer,Esophageal Cancer,Esophageal Cancer
TP00299,CCR4;PDCD1,CCR4,PDCD1,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00299,CCR4;PDCD1,CCR4,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00301,CCR5;PDCD1,CCR5,PDCD1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00302,CCR8;PDCD1,CCR8,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00303,CD163;PDCD1,CD163,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00323,CD27;CD274,CD27,CD274,Lung Cancer,Lung Cancer,Lung Cancer
TP00324,CD27;PDCD1,CD27,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00326,CD274;CD38,CD274,CD38,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00326,CD274;CD38,CD274,CD38,Lung Cancer,Lung Cancer,Lung Cancer
TP00327,CD274;CD3D,CD274,CD3D,Lung Cancer,Lung Cancer,Lung Cancer
TP00327,CD274;CD3D,CD274,CD3D,Melanoma,Melanoma,Melanoma
TP00328,CD274;CD3E,CD274,CD3E,Melanoma,Melanoma,Melanoma
TP00328,CD274;CD3E,CD274,CD3E,Lung Cancer,Lung Cancer,Lung Cancer
TP00329,CD274;CD3G,CD274,CD3G,Melanoma,Melanoma,Melanoma
TP00329,CD274;CD3G,CD274,CD3G,Lung Cancer,Lung Cancer,Lung Cancer
TP00331,CD274;CD47,CD274,CD47,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00331,CD274;CD47,CD274,CD47,Lung Cancer,Lung Cancer,Lung Cancer
TP00331,CD274;CD47,CD274,CD47,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00331,CD274;CD47,CD274,CD47,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00331,CD274;CD47,CD274,CD47,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00331,CD274;CD47,CD274,CD47,Breast Cancer,Breast Cancer,Breast Cancer
TP00332,CD274;CDK4,CD274,CDK4,Breast Cancer,Breast Cancer,Breast Cancer
TP00332,CD274;CDK4,CD274,CDK4,Melanoma,Melanoma,Melanoma
TP00332,CD274;CDK4,CD274,CDK4,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00332,CD274;CDK4,CD274,CDK4,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00333,CD274;CDK6,CD274,CDK6,Breast Cancer,Breast Cancer,Breast Cancer
TP00333,CD274;CDK6,CD274,CDK6,Melanoma,Melanoma,Melanoma
TP00333,CD274;CDK6,CD274,CDK6,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00333,CD274;CDK6,CD274,CDK6,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00334,CD274;CEACAM5,CD274,CEACAM5,Lung Cancer,Lung Cancer,Lung Cancer
TP00338,CD274;CREBBP,CD274,CREBBP,Lung Cancer,Lung Cancer,Lung Cancer
TP00339,CD274;CSF1R,CD274,CSF1R,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00339,CD274;CSF1R,CD274,CSF1R,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00339,CD274;CSF1R,CD274,CSF1R,Liver Cancer,Liver Cancer,Liver Cancer
TP00340,CD274;CTLA4,CD274,CTLA4,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00340,CD274;CTLA4,CD274,CTLA4,Breast Cancer,Breast Cancer,Breast Cancer
TP00340,CD274;CTLA4,CD274,CTLA4,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00340,CD274;CTLA4,CD274,CTLA4,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00340,CD274;CTLA4,CD274,CTLA4,Liver Cancer,Liver Cancer,Liver Cancer
TP00340,CD274;CTLA4,CD274,CTLA4,Lung Cancer,Lung Cancer,Lung Cancer
TP00340,CD274;CTLA4,CD274,CTLA4,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00340,CD274;CTLA4,CD274,CTLA4,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00340,CD274;CTLA4,CD274,CTLA4,Melanoma,Melanoma,Melanoma
TP00340,CD274;CTLA4,CD274,CTLA4,Esophageal Cancer,Esophageal Cancer,Esophageal Cancer
TP00341,CD274;CXCR4,CD274,CXCR4,Esophageal Cancer,Esophageal Cancer,Esophageal Cancer
TP00341,CD274;CXCR4,CD274,CXCR4,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00342,CD274;CYP19A1,CD274,CYP19A1,Breast Cancer,Breast Cancer,Breast Cancer
TP00343,CD274;DPP4,CD274,DPP4,Lung Cancer,Lung Cancer,Lung Cancer
TP00344,CD274;EGFR,CD274,EGFR,Lung Cancer,Lung Cancer,Lung Cancer
TP00344,CD274;EGFR,CD274,EGFR,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00345,CD274;EP300,CD274,EP300,Lung Cancer,Lung Cancer,Lung Cancer
TP00346,CD274;EPCAM,CD274,EPCAM,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00347,CD274;ERBB2,CD274,ERBB2,Lung Cancer,Lung Cancer,Lung Cancer
TP00347,CD274;ERBB2,CD274,ERBB2,Liver Cancer,Liver Cancer,Liver Cancer
TP00347,CD274;ERBB2,CD274,ERBB2,Breast Cancer,Breast Cancer,Breast Cancer
TP00348,CD274;ESR1,CD274,ESR1,Breast Cancer,Breast Cancer,Breast Cancer
TP00349,CD274;ESR2,CD274,ESR2,Breast Cancer,Breast Cancer,Breast Cancer
TP00351,CD274;FAP,CD274,FAP,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00352,CD274;FGFR1,CD274,FGFR1,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00353,CD274;FGFR3,CD274,FGFR3,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00354,CD274;FLT1,CD274,FLT1,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00354,CD274;FLT1,CD274,FLT1,Lung Cancer,Lung Cancer,Lung Cancer
TP00354,CD274;FLT1,CD274,FLT1,Liver Cancer,Liver Cancer,Liver Cancer
TP00354,CD274;FLT1,CD274,FLT1,Breast Cancer,Breast Cancer,Breast Cancer
TP00354,CD274;FLT1,CD274,FLT1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00354,CD274;FLT1,CD274,FLT1,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00354,CD274;FLT1,CD274,FLT1,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00354,CD274;FLT1,CD274,FLT1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00354,CD274;FLT1,CD274,FLT1,Melanoma,Melanoma,Melanoma
TP00356,CD274;FLT4,CD274,FLT4,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00356,CD274;FLT4,CD274,FLT4,Lung Cancer,Lung Cancer,Lung Cancer
TP00356,CD274;FLT4,CD274,FLT4,Breast Cancer,Breast Cancer,Breast Cancer
TP00356,CD274;FLT4,CD274,FLT4,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00356,CD274;FLT4,CD274,FLT4,Melanoma,Melanoma,Melanoma
TP00356,CD274;FLT4,CD274,FLT4,Liver Cancer,Liver Cancer,Liver Cancer
TP00356,CD274;FLT4,CD274,FLT4,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00356,CD274;FLT4,CD274,FLT4,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00356,CD274;FLT4,CD274,FLT4,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00357,CD274;FOXP3,CD274,FOXP3,Lung Cancer,Lung Cancer,Lung Cancer
TP00358,CD274;GEM,CD274,GEM,Lung Cancer,Lung Cancer,Lung Cancer
TP00359,CD274;HAVCR2,CD274,HAVCR2,Breast Cancer,Breast Cancer,Breast Cancer
TP00359,CD274;HAVCR2,CD274,HAVCR2,Melanoma,Melanoma,Melanoma
TP00359,CD274;HAVCR2,CD274,HAVCR2,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00360,CD274;HDAC1,CD274,HDAC1,Lung Cancer,Lung Cancer,Lung Cancer
TP00360,CD274;HDAC1,CD274,HDAC1,Breast Cancer,Breast Cancer,Breast Cancer
TP00361,CD274;HDAC10,CD274,HDAC10,Lung Cancer,Lung Cancer,Lung Cancer
TP00362,CD274;HDAC2,CD274,HDAC2,Breast Cancer,Breast Cancer,Breast Cancer
TP00362,CD274;HDAC2,CD274,HDAC2,Lung Cancer,Lung Cancer,Lung Cancer
TP00363,CD274;HDAC3,CD274,HDAC3,Breast Cancer,Breast Cancer,Breast Cancer
TP00363,CD274;HDAC3,CD274,HDAC3,Lung Cancer,Lung Cancer,Lung Cancer
TP00364,CD274;HDAC8,CD274,HDAC8,Breast Cancer,Breast Cancer,Breast Cancer
