tpid,tp_name,genename1,genename2,fd_name,md_name,specific_cancer
TP00375,CD274;KDR,CD274,KDR,Breast Cancer,Breast Cancer,Breast Cancer
TP00375,CD274;KDR,CD274,KDR,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00375,CD274;KDR,CD274,KDR,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00375,CD274;KDR,CD274,KDR,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00375,CD274;KDR,CD274,KDR,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00375,CD274;KDR,CD274,KDR,Melanoma,Melanoma,Melanoma
TP00376,CD274;KLRC1,CD274,KLRC1,Lung Cancer,Lung Cancer,Lung Cancer
TP00377,CD274;KRAS,CD274,KRAS,Lung Cancer,Lung Cancer,Lung Cancer
TP00378,CD274;LAG3,CD274,LAG3,Lung Cancer,Lung Cancer,Lung Cancer
TP00379,CD274;LGALS3,CD274,LGALS3,Lung Cancer,Lung Cancer,Lung Cancer
TP00380,CD274;MAP2K1,CD274,MAP2K1,Lung Cancer,Lung Cancer,Lung Cancer
TP00380,CD274;MAP2K1,CD274,MAP2K1,Breast Cancer,Breast Cancer,Breast Cancer
TP00380,CD274;MAP2K1,CD274,MAP2K1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00380,CD274;MAP2K1,CD274,MAP2K1,Esophageal Cancer,Esophageal Cancer,Esophageal Cancer
TP00380,CD274;MAP2K1,CD274,MAP2K1,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00380,CD274;MAP2K1,CD274,MAP2K1,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00380,CD274;MAP2K1,CD274,MAP2K1,Liver Cancer,Liver Cancer,Liver Cancer
TP00380,CD274;MAP2K1,CD274,MAP2K1,Melanoma,Melanoma,Melanoma
TP00381,CD274;MAP2K2,CD274,MAP2K2,Lung Cancer,Lung Cancer,Lung Cancer
TP00381,CD274;MAP2K2,CD274,MAP2K2,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00381,CD274;MAP2K2,CD274,MAP2K2,Breast Cancer,Breast Cancer,Breast Cancer
TP00381,CD274;MAP2K2,CD274,MAP2K2,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00381,CD274;MAP2K2,CD274,MAP2K2,Liver Cancer,Liver Cancer,Liver Cancer
TP00381,CD274;MAP2K2,CD274,MAP2K2,Melanoma,Melanoma,Melanoma
TP00381,CD274;MAP2K2,CD274,MAP2K2,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00382,CD274;MDM2,CD274,MDM2,Breast Cancer,Breast Cancer,Breast Cancer
TP00382,CD274;MDM2,CD274,MDM2,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00383,CD274;MET,CD274,MET,Lung Cancer,Lung Cancer,Lung Cancer
TP00383,CD274;MET,CD274,MET,Breast Cancer,Breast Cancer,Breast Cancer
TP00383,CD274;MET,CD274,MET,Melanoma,Melanoma,Melanoma
TP00383,CD274;MET,CD274,MET,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00384,CD274;MKNK1,CD274,MKNK1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00385,CD274;MKNK2,CD274,MKNK2,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00387,CD274;MSLN,CD274,MSLN,Lung Cancer,Lung Cancer,Lung Cancer
TP00388,CD274;MTOR,CD274,MTOR,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00388,CD274;MTOR,CD274,MTOR,Lung Cancer,Lung Cancer,Lung Cancer
TP00389,CD274;NECTIN4,CD274,NECTIN4,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00390,CD274;NR1H2,CD274,NR1H2,Lung Cancer,Lung Cancer,Lung Cancer
TP00391,CD274;NT5E,CD274,NT5E,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00391,CD274;NT5E,CD274,NT5E,Lung Cancer,Lung Cancer,Lung Cancer
TP00391,CD274;NT5E,CD274,NT5E,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00392,CD274;PARP1,CD274,PARP1,Lung Cancer,Lung Cancer,Lung Cancer
TP00392,CD274;PARP1,CD274,PARP1,Breast Cancer,Breast Cancer,Breast Cancer
TP00392,CD274;PARP1,CD274,PARP1,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00392,CD274;PARP1,CD274,PARP1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00392,CD274;PARP1,CD274,PARP1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00393,CD274;PARP2,CD274,PARP2,Lung Cancer,Lung Cancer,Lung Cancer
TP00393,CD274;PARP2,CD274,PARP2,Breast Cancer,Breast Cancer,Breast Cancer
TP00393,CD274;PARP2,CD274,PARP2,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00393,CD274;PARP2,CD274,PARP2,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00393,CD274;PARP2,CD274,PARP2,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00394,CD274;PCSK9,CD274,PCSK9,Lung Cancer,Lung Cancer,Lung Cancer
TP00395,CD274;PDCD1,CD274,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00395,CD274;PDCD1,CD274,PDCD1,Liver Cancer,Liver Cancer,Liver Cancer
TP00396,CD274;PDGFRA,CD274,PDGFRA,Lung Cancer,Lung Cancer,Lung Cancer
TP00397,CD274;PDGFRB,CD274,PDGFRB,Lung Cancer,Lung Cancer,Lung Cancer
TP00397,CD274;PDGFRB,CD274,PDGFRB,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00398,CD274;PLK4,CD274,PLK4,Breast Cancer,Breast Cancer,Breast Cancer
TP00399,CD274;PMEL,CD274,PMEL,Melanoma,Melanoma,Melanoma
TP00401,CD274;PTGER4,CD274,PTGER4,Lung Cancer,Lung Cancer,Lung Cancer
TP00402,CD274;ROR2,CD274,ROR2,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00403,CD274;ROS1,CD274,ROS1,Lung Cancer,Lung Cancer,Lung Cancer
TP00404,CD274;SEMA4D,CD274,SEMA4D,Lung Cancer,Lung Cancer,Lung Cancer
TP00405,CD274;SLC39A6,CD274,SLC39A6,Breast Cancer,Breast Cancer,Breast Cancer
TP00406,CD274;SMO,CD274,SMO,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00407,CD274;STAT3,CD274,STAT3,Lung Cancer,Lung Cancer,Lung Cancer
TP00408,CD274;STING1,CD274,STING1,Melanoma,Melanoma,Melanoma
TP00409,CD274;TACSTD2,CD274,TACSTD2,Lung Cancer,Lung Cancer,Lung Cancer
TP00410,CD274;TGFB1,CD274,TGFB1,Lung Cancer,Lung Cancer,Lung Cancer
TP00410,CD274;TGFB1,CD274,TGFB1,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00410,CD274;TGFB1,CD274,TGFB1,Breast Cancer,Breast Cancer,Breast Cancer
TP00410,CD274;TGFB1,CD274,TGFB1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00410,CD274;TGFB1,CD274,TGFB1,Liver Cancer,Liver Cancer,Liver Cancer
TP00410,CD274;TGFB1,CD274,TGFB1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00410,CD274;TGFB1,CD274,TGFB1,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00411,CD274;TGFB2,CD274,TGFB2,Lung Cancer,Lung Cancer,Lung Cancer
TP00412,CD274;TGFBR1,CD274,TGFBR1,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00412,CD274;TGFBR1,CD274,TGFBR1,Lung Cancer,Lung Cancer,Lung Cancer
TP00414,CD274;TIGIT,CD274,TIGIT,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00414,CD274;TIGIT,CD274,TIGIT,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00414,CD274;TIGIT,CD274,TIGIT,Esophageal Cancer,Esophageal Cancer,Esophageal Cancer
TP00414,CD274;TIGIT,CD274,TIGIT,Lung Cancer,Lung Cancer,Lung Cancer
TP00414,CD274;TIGIT,CD274,TIGIT,Melanoma,Melanoma,Melanoma
TP00417,CD274;TLR9,CD274,TLR9,Lung Cancer,Lung Cancer,Lung Cancer
TP00419,CD274;TNFRSF9,CD274,TNFRSF9,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00419,CD274;TNFRSF9,CD274,TNFRSF9,Lung Cancer,Lung Cancer,Lung Cancer
TP00419,CD274;TNFRSF9,CD274,TNFRSF9,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00419,CD274;TNFRSF9,CD274,TNFRSF9,Breast Cancer,Breast Cancer,Breast Cancer
TP00419,CD274;TNFRSF9,CD274,TNFRSF9,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00419,CD274;TNFRSF9,CD274,TNFRSF9,Melanoma,Melanoma,Melanoma
TP00419,CD274;TNFRSF9,CD274,TNFRSF9,Esophageal Cancer,Esophageal Cancer,Esophageal Cancer
TP00420,CD274;TNFSF4,CD274,TNFSF4,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00421,CD274;VEGFA,CD274,VEGFA,Breast Cancer,Breast Cancer,Breast Cancer
TP00421,CD274;VEGFA,CD274,VEGFA,Liver Cancer,Liver Cancer,Liver Cancer
TP00421,CD274;VEGFA,CD274,VEGFA,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00421,CD274;VEGFA,CD274,VEGFA,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00421,CD274;VEGFA,CD274,VEGFA,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00421,CD274;VEGFA,CD274,VEGFA,Lung Cancer,Lung Cancer,Lung Cancer
TP00421,CD274;VEGFA,CD274,VEGFA,Melanoma,Melanoma,Melanoma
TP00421,CD274;VEGFA,CD274,VEGFA,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00423,CD274;XIAP,CD274,XIAP,Lung Cancer,Lung Cancer,Lung Cancer
TP00424,CD276;CD28,CD276,CD28,Lung Cancer,Lung Cancer,Lung Cancer
TP00425,CD276;CD3D,CD276,CD3D,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00425,CD276;CD3D,CD276,CD3D,Lung Cancer,Lung Cancer,Lung Cancer
TP00426,CD276;CD3E,CD276,CD3E,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00426,CD276;CD3E,CD276,CD3E,Lung Cancer,Lung Cancer,Lung Cancer
TP00427,CD276;CD3G,CD276,CD3G,Lung Cancer,Lung Cancer,Lung Cancer
TP00427,CD276;CD3G,CD276,CD3G,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00428,CD276;CTLA4,CD276,CTLA4,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00428,CD276;CTLA4,CD276,CTLA4,Liver Cancer,Liver Cancer,Liver Cancer
TP00428,CD276;CTLA4,CD276,CTLA4,Lung Cancer,Lung Cancer,Lung Cancer
TP00428,CD276;CTLA4,CD276,CTLA4,Melanoma,Melanoma,Melanoma
TP00428,CD276;CTLA4,CD276,CTLA4,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00428,CD276;CTLA4,CD276,CTLA4,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00428,CD276;CTLA4,CD276,CTLA4,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00431,CD276;PDCD1,CD276,PDCD1,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00431,CD276;PDCD1,CD276,PDCD1,Liver Cancer,Liver Cancer,Liver Cancer
TP00431,CD276;PDCD1,CD276,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00431,CD276;PDCD1,CD276,PDCD1,Melanoma,Melanoma,Melanoma
TP00431,CD276;PDCD1,CD276,PDCD1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00431,CD276;PDCD1,CD276,PDCD1,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00431,CD276;PDCD1,CD276,PDCD1,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00431,CD276;PDCD1,CD276,PDCD1,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00434,CD28;FOLH1,CD28,FOLH1,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00435,CD28;MUC16,CD28,MUC16,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00436,CD28;PDCD1,CD28,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00448,CD38;CRBN,CD38,CRBN,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00448,CD38;CRBN,CD38,CRBN,Melanoma,Melanoma,Melanoma
TP00448,CD38;CRBN,CD38,CRBN,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00452,CD38;PDCD1,CD38,PDCD1,Melanoma,Melanoma,Melanoma
TP00452,CD38;PDCD1,CD38,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00452,CD38;PDCD1,CD38,PDCD1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00455,CD3D;CDH17,CD3D,CDH17,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00455,CD3D;CDH17,CD3D,CDH17,Liver Cancer,Liver Cancer,Liver Cancer
TP00455,CD3D;CDH17,CD3D,CDH17,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00457,CD3D;CEACAM5,CD3D,CEACAM5,Lung Cancer,Lung Cancer,Lung Cancer
TP00458,CD3D;CLDN18,CD3D,CLDN18,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00459,CD3D;CLDN6,CD3D,CLDN6,Lung Cancer,Lung Cancer,Lung Cancer
TP00459,CD3D;CLDN6,CD3D,CLDN6,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00462,CD3D;CTLA4,CD3D,CTLA4,Melanoma,Melanoma,Melanoma
TP00463,CD3D;DLL3,CD3D,DLL3,Lung Cancer,Lung Cancer,Lung Cancer
TP00463,CD3D;DLL3,CD3D,DLL3,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00464,CD3D;EGFR,CD3D,EGFR,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00464,CD3D;EGFR,CD3D,EGFR,Lung Cancer,Lung Cancer,Lung Cancer
TP00465,CD3D;ENPP3,CD3D,ENPP3,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00466,CD3D;EPCAM,CD3D,EPCAM,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00466,CD3D;EPCAM,CD3D,EPCAM,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00466,CD3D;EPCAM,CD3D,EPCAM,Lung Cancer,Lung Cancer,Lung Cancer
TP00467,CD3D;ERBB2,CD3D,ERBB2,Breast Cancer,Breast Cancer,Breast Cancer
TP00471,CD3D;FOLH1,CD3D,FOLH1,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00471,CD3D;FOLH1,CD3D,FOLH1,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00471,CD3D;FOLH1,CD3D,FOLH1,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00471,CD3D;FOLH1,CD3D,FOLH1,Lung Cancer,Lung Cancer,Lung Cancer
TP00472,CD3D;GPA33,CD3D,GPA33,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00473,CD3D;GPC3,CD3D,GPC3,Liver Cancer,Liver Cancer,Liver Cancer
TP00476,CD3D;GUCY2C,CD3D,GUCY2C,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00476,CD3D;GUCY2C,CD3D,GUCY2C,Esophageal Cancer,Esophageal Cancer,Esophageal Cancer
TP00479,CD3D;KLK2,CD3D,KLK2,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00480,CD3D;LY6G6D,CD3D,LY6G6D,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00482,CD3D;MS4A1,CD3D,MS4A1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00483,CD3D;MUC16,CD3D,MUC16,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00484,CD3D;MUC17,CD3D,MUC17,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00484,CD3D;MUC17,CD3D,MUC17,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00485,CD3D;NCR3LG1,CD3D,NCR3LG1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00485,CD3D;NCR3LG1,CD3D,NCR3LG1,Liver Cancer,Liver Cancer,Liver Cancer
TP00485,CD3D;NCR3LG1,CD3D,NCR3LG1,Lung Cancer,Lung Cancer,Lung Cancer
TP00485,CD3D;NCR3LG1,CD3D,NCR3LG1,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00486,CD3D;PDCD1,CD3D,PDCD1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00486,CD3D;PDCD1,CD3D,PDCD1,Liver Cancer,Liver Cancer,Liver Cancer
TP00486,CD3D;PDCD1,CD3D,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00486,CD3D;PDCD1,CD3D,PDCD1,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00486,CD3D;PDCD1,CD3D,PDCD1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00486,CD3D;PDCD1,CD3D,PDCD1,Melanoma,Melanoma,Melanoma
TP00486,CD3D;PDCD1,CD3D,PDCD1,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00487,CD3D;PMEL,CD3D,PMEL,Melanoma,Melanoma,Melanoma
TP00491,CD3D;SSTR2,CD3D,SSTR2,Lung Cancer,Lung Cancer,Lung Cancer
TP00492,CD3D;STEAP1,CD3D,STEAP1,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00495,CD3D;TPBG,CD3D,TPBG,Lung Cancer,Lung Cancer,Lung Cancer
TP00496,CD3D;TYRP1,CD3D,TYRP1,Melanoma,Melanoma,Melanoma
TP00497,CD3D;VTCN1,CD3D,VTCN1,Breast Cancer,Breast Cancer,Breast Cancer
TP00497,CD3D;VTCN1,CD3D,VTCN1,Lung Cancer,Lung Cancer,Lung Cancer
TP00497,CD3D;VTCN1,CD3D,VTCN1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00498,CD3E;CDH17,CD3E,CDH17,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00498,CD3E;CDH17,CD3E,CDH17,Liver Cancer,Liver Cancer,Liver Cancer
TP00498,CD3E;CDH17,CD3E,CDH17,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00500,CD3E;CEACAM5,CD3E,CEACAM5,Lung Cancer,Lung Cancer,Lung Cancer
TP00501,CD3E;CLDN18,CD3E,CLDN18,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00502,CD3E;CLDN6,CD3E,CLDN6,Lung Cancer,Lung Cancer,Lung Cancer
TP00502,CD3E;CLDN6,CD3E,CLDN6,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00505,CD3E;CTLA4,CD3E,CTLA4,Melanoma,Melanoma,Melanoma
TP00506,CD3E;DLL3,CD3E,DLL3,Lung Cancer,Lung Cancer,Lung Cancer
TP00506,CD3E;DLL3,CD3E,DLL3,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00507,CD3E;EGFR,CD3E,EGFR,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00507,CD3E;EGFR,CD3E,EGFR,Lung Cancer,Lung Cancer,Lung Cancer
TP00508,CD3E;ENPP3,CD3E,ENPP3,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00509,CD3E;EPCAM,CD3E,EPCAM,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00509,CD3E;EPCAM,CD3E,EPCAM,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00509,CD3E;EPCAM,CD3E,EPCAM,Lung Cancer,Lung Cancer,Lung Cancer
TP00510,CD3E;ERBB2,CD3E,ERBB2,Breast Cancer,Breast Cancer,Breast Cancer
TP00514,CD3E;FOLH1,CD3E,FOLH1,Lung Cancer,Lung Cancer,Lung Cancer
TP00514,CD3E;FOLH1,CD3E,FOLH1,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00514,CD3E;FOLH1,CD3E,FOLH1,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00514,CD3E;FOLH1,CD3E,FOLH1,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00515,CD3E;GPA33,CD3E,GPA33,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00516,CD3E;GPC3,CD3E,GPC3,Liver Cancer,Liver Cancer,Liver Cancer
TP00519,CD3E;GUCY2C,CD3E,GUCY2C,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00519,CD3E;GUCY2C,CD3E,GUCY2C,Esophageal Cancer,Esophageal Cancer,Esophageal Cancer
TP00522,CD3E;KLK2,CD3E,KLK2,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00523,CD3E;LY6G6D,CD3E,LY6G6D,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00525,CD3E;MS4A1,CD3E,MS4A1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00526,CD3E;MUC16,CD3E,MUC16,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00527,CD3E;MUC17,CD3E,MUC17,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00527,CD3E;MUC17,CD3E,MUC17,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00528,CD3E;NCR3LG1,CD3E,NCR3LG1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00528,CD3E;NCR3LG1,CD3E,NCR3LG1,Liver Cancer,Liver Cancer,Liver Cancer
TP00528,CD3E;NCR3LG1,CD3E,NCR3LG1,Lung Cancer,Lung Cancer,Lung Cancer
TP00528,CD3E;NCR3LG1,CD3E,NCR3LG1,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00529,CD3E;PDCD1,CD3E,PDCD1,Lung Cancer,Lung Cancer,Lung Cancer
TP00529,CD3E;PDCD1,CD3E,PDCD1,Melanoma,Melanoma,Melanoma
TP00529,CD3E;PDCD1,CD3E,PDCD1,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00529,CD3E;PDCD1,CD3E,PDCD1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00529,CD3E;PDCD1,CD3E,PDCD1,Liver Cancer,Liver Cancer,Liver Cancer
TP00529,CD3E;PDCD1,CD3E,PDCD1,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00529,CD3E;PDCD1,CD3E,PDCD1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00530,CD3E;PMEL,CD3E,PMEL,Melanoma,Melanoma,Melanoma
TP00534,CD3E;SSTR2,CD3E,SSTR2,Lung Cancer,Lung Cancer,Lung Cancer
TP00535,CD3E;STEAP1,CD3E,STEAP1,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00538,CD3E;TPBG,CD3E,TPBG,Lung Cancer,Lung Cancer,Lung Cancer
TP00539,CD3E;TYRP1,CD3E,TYRP1,Melanoma,Melanoma,Melanoma
TP00540,CD3E;VTCN1,CD3E,VTCN1,Breast Cancer,Breast Cancer,Breast Cancer
TP00540,CD3E;VTCN1,CD3E,VTCN1,Lung Cancer,Lung Cancer,Lung Cancer
TP00540,CD3E;VTCN1,CD3E,VTCN1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00541,CD3G;CDH17,CD3G,CDH17,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00541,CD3G;CDH17,CD3G,CDH17,Liver Cancer,Liver Cancer,Liver Cancer
TP00541,CD3G;CDH17,CD3G,CDH17,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00543,CD3G;CEACAM5,CD3G,CEACAM5,Lung Cancer,Lung Cancer,Lung Cancer
TP00544,CD3G;CLDN18,CD3G,CLDN18,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00545,CD3G;CLDN6,CD3G,CLDN6,Lung Cancer,Lung Cancer,Lung Cancer
TP00545,CD3G;CLDN6,CD3G,CLDN6,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00548,CD3G;CTLA4,CD3G,CTLA4,Melanoma,Melanoma,Melanoma
TP00549,CD3G;DLL3,CD3G,DLL3,Lung Cancer,Lung Cancer,Lung Cancer
TP00549,CD3G;DLL3,CD3G,DLL3,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00550,CD3G;EGFR,CD3G,EGFR,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00550,CD3G;EGFR,CD3G,EGFR,Lung Cancer,Lung Cancer,Lung Cancer
TP00551,CD3G;ENPP3,CD3G,ENPP3,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00552,CD3G;EPCAM,CD3G,EPCAM,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00552,CD3G;EPCAM,CD3G,EPCAM,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00552,CD3G;EPCAM,CD3G,EPCAM,Lung Cancer,Lung Cancer,Lung Cancer
TP00553,CD3G;ERBB2,CD3G,ERBB2,Breast Cancer,Breast Cancer,Breast Cancer
TP00557,CD3G;FOLH1,CD3G,FOLH1,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00557,CD3G;FOLH1,CD3G,FOLH1,Bladder Cancer,Bladder Cancer,Bladder Cancer
TP00557,CD3G;FOLH1,CD3G,FOLH1,Kidney Cancer,Kidney Cancer,Kidney Cancer
TP00557,CD3G;FOLH1,CD3G,FOLH1,Lung Cancer,Lung Cancer,Lung Cancer
TP00558,CD3G;GPA33,CD3G,GPA33,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00559,CD3G;GPC3,CD3G,GPC3,Liver Cancer,Liver Cancer,Liver Cancer
TP00562,CD3G;GUCY2C,CD3G,GUCY2C,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00562,CD3G;GUCY2C,CD3G,GUCY2C,Esophageal Cancer,Esophageal Cancer,Esophageal Cancer
TP00565,CD3G;KLK2,CD3G,KLK2,Prostate Cancer,Prostate Cancer,Prostate Cancer
TP00566,CD3G;LY6G6D,CD3G,LY6G6D,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00568,CD3G;MS4A1,CD3G,MS4A1,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00569,CD3G;MUC16,CD3G,MUC16,Ovarian Cancer,Ovarian Cancer,Ovarian Cancer
TP00570,CD3G;MUC17,CD3G,MUC17,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00570,CD3G;MUC17,CD3G,MUC17,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
TP00571,CD3G;NCR3LG1,CD3G,NCR3LG1,Colorectal Cancer,Colorectal Cancer,Colorectal Cancer
TP00571,CD3G;NCR3LG1,CD3G,NCR3LG1,Liver Cancer,Liver Cancer,Liver Cancer
TP00571,CD3G;NCR3LG1,CD3G,NCR3LG1,Lung Cancer,Lung Cancer,Lung Cancer
TP00571,CD3G;NCR3LG1,CD3G,NCR3LG1,Pancreatic Cancer,Pancreatic Cancer,Pancreatic Cancer
